PERMNO,date,TICKER,RET,vwretd
10696,1/31/2018,FISV,0.074049,0.050638
10696,2/28/2018,FISV,0.018106,-0.039481
10696,3/29/2018,FISV,-0.00537,-0.018445
10696,4/30/2018,FISV,-0.00631,0.004692
10696,5/31/2018,FISV,0.024555,0.026164
10696,6/29/2018,FISV,0.020523,0.005365
10696,7/31/2018,FISV,0.018761,0.031604
10696,8/31/2018,FISV,0.060811,0.030233
10696,9/28/2018,FISV,0.02885,0.000425
10696,10/31/2018,FISV,-0.037388,-0.074045
10696,11/30/2018,FISV,-0.002144,0.018512
10696,12/31/2018,FISV,-0.071275,-0.08989
10696,1/31/2019,FISV,0.128453,0.088294
10696,2/28/2019,FISV,0.021223,0.032724
10696,3/29/2019,FISV,0.04239,0.012962
10696,4/30/2019,FISV,-0.011781,0.037893
10696,5/31/2019,FISV,-0.015818,-0.061679
10696,6/28/2019,FISV,0.061728,0.067279
10696,7/31/2019,FISV,0.156538,0.011854
10696,8/30/2019,FISV,0.014322,-0.020339
10696,9/30/2019,FISV,-0.031326,0.016033
10696,10/31/2019,FISV,0.024616,0.019257
10696,11/29/2019,FISV,0.095157,0.034999
10696,12/31/2019,FISV,-0.005248,0.028489
10696,1/31/2020,FISV,0.025772,-0.001728
10696,2/28/2020,FISV,-0.077987,-0.077918
10696,3/31/2020,FISV,-0.131401,-0.141733
10696,4/30/2020,FISV,0.084956,0.129674
10696,5/29/2020,FISV,0.035998,0.053739
10696,6/30/2020,FISV,-0.085698,0.025299
10696,7/31/2020,FISV,0.022229,0.055531
10696,8/31/2020,FISV,-0.002104,0.068442
10696,9/30/2020,FISV,0.034846,-0.035056
10696,10/30/2020,FISV,-0.073557,-0.020178
10696,11/30/2020,FISV,0.206452,0.123707
10696,12/31/2020,FISV,-0.01146,0.045048
10696,1/29/2021,FISV,-0.098103,-0.000631
10696,2/26/2021,FISV,0.123478,0.029196
10696,3/31/2021,FISV,0.031811,0.030573
10696,4/30/2021,FISV,0.009073,0.04819
10696,5/28/2021,FISV,-0.040959,0.007092
10696,6/30/2021,FISV,-0.072135,0.023422
10696,7/30/2021,FISV,0.076902,0.011828
10696,8/31/2021,FISV,0.023282,0.027146
10696,9/30/2021,FISV,-0.078869,-0.042243
10696,10/29/2021,FISV,-0.092258,0.064651
10696,11/30/2021,FISV,-0.020002,-0.01835
10696,12/31/2021,FISV,0.075321,0.033341
10696,1/31/2022,FISV,0.018403,-0.059822
10696,2/28/2022,FISV,-0.07597,-0.021838
10696,3/31/2022,FISV,0.03819,0.030506
10696,4/29/2022,FISV,-0.03432,-0.089387
10696,5/31/2022,FISV,0.02308,-0.002108
10696,6/30/2022,FISV,-0.111899,-0.084
10696,7/29/2022,FISV,0.187816,0.090352
10696,8/31/2022,FISV,-0.042487,-0.03624
10696,9/30/2022,FISV,-0.075304,-0.091324
10696,10/31/2022,FISV,0.098001,0.077403
10696,11/30/2022,FISV,0.015768,0.052365
10696,12/30/2022,FISV,-0.031525,-0.057116
11308,1/31/2018,KO,0.037271,0.050638
11308,2/28/2018,KO,-0.091826,-0.039481
11308,3/29/2018,KO,0.013882,-0.018445
11308,4/30/2018,KO,-0.005066,0.004692
11308,5/31/2018,KO,-0.00486,0.026164
11308,6/29/2018,KO,0.02907,0.005365
11308,7/31/2018,KO,0.063156,0.031604
11308,8/31/2018,KO,-0.044178,0.030233
11308,9/28/2018,KO,0.045098,0.000425
11308,10/31/2018,KO,0.036588,-0.074045
11308,11/30/2018,KO,0.060777,0.018512
11308,12/31/2018,KO,-0.060516,-0.08989
11308,1/31/2019,KO,0.016473,0.088294
11308,2/28/2019,KO,-0.057968,0.032724
11308,3/29/2019,KO,0.042347,0.012962
11308,4/30/2019,KO,0.046948,0.037893
11308,5/31/2019,KO,0.001427,-0.061679
11308,6/28/2019,KO,0.044576,0.067279
11308,7/31/2019,KO,0.033582,0.011854
11308,8/30/2019,KO,0.045791,-0.020339
11308,9/30/2019,KO,-0.003634,0.016033
11308,10/31/2019,KO,-0.000184,0.019257
11308,11/29/2019,KO,-0.011574,0.034999
11308,12/31/2019,KO,0.036517,0.028489
11308,1/31/2020,KO,0.055104,-0.001728
11308,2/28/2020,KO,-0.084075,-0.077918
11308,3/31/2020,KO,-0.165078,-0.141733
11308,4/30/2020,KO,0.037062,0.129674
11308,5/29/2020,KO,0.017215,0.053739
11308,6/30/2020,KO,-0.034062,0.025299
11308,7/31/2020,KO,0.057296,0.055531
11308,8/31/2020,KO,0.048476,0.068442
11308,9/30/2020,KO,0.005047,-0.035056
11308,10/30/2020,KO,-0.026534,-0.020178
11308,11/30/2020,KO,0.082189,0.123707
11308,12/31/2020,KO,0.062791,0.045048
11308,1/29/2021,KO,-0.121991,-0.000631
11308,2/26/2021,KO,0.017445,0.029196
11308,3/31/2021,KO,0.084507,0.030573
11308,4/30/2021,KO,0.024094,0.04819
11308,5/28/2021,KO,0.024268,0.007092
11308,6/30/2021,KO,-0.013746,0.023422
11308,7/30/2021,KO,0.053964,0.011828
11308,8/31/2021,KO,-0.012625,0.027146
11308,9/30/2021,KO,-0.060735,-0.042243
11308,10/29/2021,KO,0.074328,0.064651
11308,11/30/2021,KO,-0.06209,-0.01835
11308,12/31/2021,KO,0.128885,0.033341
11308,1/31/2022,KO,0.0304,-0.059822
11308,2/28/2022,KO,0.020161,-0.021838
11308,3/31/2022,KO,0.003213,0.030506
11308,4/29/2022,KO,0.042097,-0.089387
11308,5/31/2022,KO,-0.019037,-0.002108
11308,6/30/2022,KO,-0.000473,-0.084
11308,7/29/2022,KO,0.020029,0.090352
11308,8/31/2022,KO,-0.038336,-0.03624
11308,9/30/2022,KO,-0.085075,-0.091324
11308,10/31/2022,KO,0.068368,0.077403
11308,11/30/2022,KO,0.070175,0.052365
11308,12/30/2022,KO,0,-0.057116
12490,1/31/2018,IBM,0.067006,0.050638
12490,2/28/2018,IBM,-0.038913,-0.039481
12490,3/29/2018,IBM,-0.015401,-0.018445
12490,4/30/2018,IBM,-0.055204,0.004692
12490,5/31/2018,IBM,-0.014349,0.026164
12490,6/29/2018,IBM,-0.011393,0.005365
12490,7/31/2018,IBM,0.037437,0.031604
12490,8/31/2018,IBM,0.021528,0.030233
12490,9/28/2018,IBM,0.032291,0.000425
12490,10/31/2018,IBM,-0.236625,-0.074045
12490,11/30/2018,IBM,0.090184,0.018512
12490,12/31/2018,IBM,-0.085298,-0.08989
12490,1/31/2019,IBM,0.182546,0.088294
12490,2/28/2019,IBM,0.03928,0.032724
12490,3/29/2019,IBM,0.021501,0.012962
12490,4/30/2019,IBM,-0.005882,0.037893
12490,5/31/2019,IBM,-0.083125,-0.061679
12490,6/28/2019,IBM,0.085912,0.067279
12490,7/31/2019,IBM,0.074982,0.011854
12490,8/30/2019,IBM,-0.074811,-0.020339
12490,9/30/2019,IBM,0.072973,0.016033
12490,10/31/2019,IBM,-0.080388,0.019257
12490,11/29/2019,IBM,0.017498,0.034999
12490,12/31/2019,IBM,-0.003049,0.028489
12490,1/31/2020,IBM,0.072292,-0.001728
12490,2/28/2020,IBM,-0.083212,-0.077918
12490,3/31/2020,IBM,-0.147676,-0.141733
12490,4/30/2020,IBM,0.131885,0.129674
12490,5/29/2020,IBM,0.007725,0.053739
12490,6/30/2020,IBM,-0.033066,0.025299
12490,7/31/2020,IBM,0.017968,0.055531
12490,8/31/2020,IBM,0.016268,0.068442
12490,9/30/2020,IBM,-0.0133,-0.035056
12490,10/30/2020,IBM,-0.082272,-0.020178
12490,11/30/2020,IBM,0.120813,0.123707
12490,12/31/2020,IBM,0.019106,0.045048
12490,1/29/2021,IBM,-0.053781,-0.000631
12490,2/26/2021,IBM,0.012174,0.029196
12490,3/31/2021,IBM,0.120491,0.030573
12490,4/30/2021,IBM,0.064686,0.04819
12490,5/28/2021,IBM,0.024669,0.007092
12490,6/30/2021,IBM,0.019827,0.023422
12490,7/30/2021,IBM,-0.038406,0.011828
12490,8/31/2021,IBM,0.007236,0.027146
12490,9/30/2021,IBM,-0.010047,-0.042243
12490,10/29/2021,IBM,-0.099546,0.064651
12490,11/30/2021,IBM,-0.009401,-0.01835
12490,12/31/2021,IBM,0.141418,0.033341
12490,1/31/2022,IBM,-0.000673,-0.059822
12490,2/28/2022,IBM,-0.070525,-0.021838
12490,3/31/2022,IBM,0.061301,0.030506
12490,4/29/2022,IBM,0.016844,-0.089387
12490,5/31/2022,IBM,0.062628,-0.002108
12490,6/30/2022,IBM,0.016926,-0.084
12490,7/29/2022,IBM,-0.07366,0.090352
12490,8/31/2022,IBM,-0.005276,-0.03624
12490,9/30/2022,IBM,-0.075049,-0.091324
12490,10/31/2022,IBM,0.163959,0.077403
12490,11/30/2022,IBM,0.088654,0.052365
12490,12/30/2022,IBM,-0.053794,-0.057116
12622,1/31/2018,HCA,0.151639,0.050638
12622,2/28/2018,HCA,-0.015421,-0.039481
12622,3/29/2018,HCA,-0.02267,-0.018445
12622,4/30/2018,HCA,-0.01299,0.004692
12622,5/31/2018,HCA,0.080948,0.026164
12622,6/29/2018,HCA,-0.005236,0.005365
12622,7/31/2018,HCA,0.210819,0.031604
12622,8/31/2018,HCA,0.082347,0.030233
12622,9/28/2018,HCA,0.037357,0.000425
12622,10/31/2018,HCA,-0.040181,-0.074045
12622,11/30/2018,HCA,0.080956,0.018512
12622,12/31/2018,HCA,-0.135704,-0.08989
12622,1/31/2019,HCA,0.12037,0.088294
12622,2/28/2019,HCA,0.000072,0.032724
12622,3/29/2019,HCA,-0.062284,0.012962
12622,4/30/2019,HCA,-0.02416,0.037893
12622,5/31/2019,HCA,-0.046137,-0.061679
12622,6/28/2019,HCA,0.117477,0.067279
12622,7/31/2019,HCA,-0.012281,0.011854
12622,8/30/2019,HCA,-0.096697,-0.020339
12622,9/30/2019,HCA,0.00183,0.016033
12622,10/31/2019,HCA,0.108952,0.019257
12622,11/29/2019,HCA,0.041336,0.034999
12622,12/31/2019,HCA,0.065989,0.028489
12622,1/31/2020,HCA,-0.060957,-0.001728
12622,2/28/2020,HCA,-0.081844,-0.077918
12622,3/31/2020,HCA,-0.292575,-0.141733
12622,4/30/2020,HCA,0.222927,0.129674
12622,5/29/2020,HCA,-0.02712,0.053739
12622,6/30/2020,HCA,-0.092049,0.025299
12622,7/31/2020,HCA,0.30476,0.055531
12622,8/31/2020,HCA,0.071699,0.068442
12622,9/30/2020,HCA,-0.081344,-0.035056
12622,10/30/2020,HCA,-0.005935,-0.020178
12622,11/30/2020,HCA,0.211151,0.123707
12622,12/31/2020,HCA,0.095597,0.045048
12622,1/29/2021,HCA,-0.012039,-0.000631
12622,2/26/2021,HCA,0.058776,0.029196
12622,3/31/2021,HCA,0.097599,0.030573
12622,4/30/2021,HCA,0.067537,0.04819
12622,5/28/2021,HCA,0.068288,0.007092
12622,6/30/2021,HCA,-0.035244,0.023422
12622,7/30/2021,HCA,0.200542,0.011828
12622,8/31/2021,HCA,0.019259,0.027146
12622,9/30/2021,HCA,-0.038659,-0.042243
12622,10/29/2021,HCA,0.031889,0.064651
12622,11/30/2021,HCA,-0.099297,-0.01835
12622,12/31/2021,HCA,0.141008,0.033341
12622,1/31/2022,HCA,-0.065663,-0.059822
12622,2/28/2022,HCA,0.042741,-0.021838
12622,3/31/2022,HCA,0.003476,0.030506
12622,4/29/2022,HCA,-0.143923,-0.089387
12622,5/31/2022,HCA,-0.019343,-0.002108
12622,6/30/2022,HCA,-0.198574,-0.084
12622,7/29/2022,HCA,0.263953,0.090352
12622,8/31/2022,HCA,-0.068496,-0.03624
12622,9/30/2022,HCA,-0.068328,-0.091324
12622,10/31/2022,HCA,0.183253,0.077403
12622,11/30/2022,HCA,0.104612,0.052365
12622,12/30/2022,HCA,0.001249,-0.057116
12641,1/31/2018,AL,0.011021,0.050638
12641,2/28/2018,AL,-0.10181,-0.039481
12641,3/29/2018,AL,-0.021754,-0.018445
12641,4/30/2018,AL,-0.021821,0.004692
12641,5/31/2018,AL,0.065243,0.026164
12641,6/29/2018,AL,-0.052691,0.005365
12641,7/31/2018,AL,0.047415,0.031604
12641,8/31/2018,AL,0.051183,0.030233
12641,9/28/2018,AL,-0.004977,0.000425
12641,10/31/2018,AL,-0.169573,-0.074045
12641,11/30/2018,AL,0.019948,0.018512
12641,12/31/2018,AL,-0.219249,-0.08989
12641,1/31/2019,AL,0.255876,0.088294
12641,2/28/2019,AL,-0.015287,0.032724
12641,3/29/2019,AL,-0.077088,0.012962
12641,4/30/2019,AL,0.122562,0.037893
12641,5/31/2019,AL,-0.06639,-0.061679
12641,6/28/2019,AL,0.151944,0.067279
12641,7/31/2019,AL,0.010885,0.011854
12641,8/30/2019,AL,-0.005982,-0.020339
12641,9/30/2019,AL,0.00987,0.016033
12641,10/31/2019,AL,0.05165,0.019257
12641,11/29/2019,AL,0.055707,0.034999
12641,12/31/2019,AL,0.026707,0.028489
12641,1/31/2020,AL,-0.096381,-0.001728
12641,2/28/2020,AL,-0.10666,-0.077918
